Microcredential,Checkpoint,Description,Subtask
Habits of Mind,Persistence,"Develop the resilience to work through obstacles without giving up. In design and production, challenges are opportunities to deepen understanding and strengthen technique.",
Habits of Mind,Academic Curiosity,"Cultivate a genuine drive to learn and investigate beyond the minimum. Great designers ask 'why' and 'what if' at every stage of the creative process.",
Habits of Mind,Commitment to Excellence,"Hold every project — regardless of complexity — to the highest standard you are capable of. Excellence is a habit built through intentional, consistent practice.",
Habits of Mind,Extending Knowledge,"Actively seek new skills, techniques, and perspectives that expand what you can bring to your work. Professional growth does not stop at the classroom door.",
Habits of Mind,Application of Previous Knowledge,"Recognize when and how past skills apply to new challenges. The ability to transfer learning across contexts is the mark of a truly adaptable professional.",
Adobe Illustrator,Working in the Design Industry,"Understand the professional landscape of graphic design — roles, workflows, client relationships, and industry expectations.",
Adobe Illustrator,Project Setup & Interface,"Navigate Illustrator's workspace with confidence. Set up documents with correct artboard dimensions, color modes, and units.",Create new document with correct artboard dimensions
Adobe Illustrator,Project Setup & Interface,,,Set correct color mode (CMYK for print, RGB for screen)
Adobe Illustrator,Project Setup & Interface,,,Configure document units and bleed settings
Adobe Illustrator,Project Setup & Interface,,,Save document using correct file naming convention
Adobe Illustrator,Organizing Documents,"Use layers, groups, and naming conventions to keep complex files manageable. Organized files are faster to edit, easier to hand off, and more professional.",Create and name layers appropriately
Adobe Illustrator,Organizing Documents,,,Group related design elements
Adobe Illustrator,Organizing Documents,,,Lock background and base layers
Adobe Illustrator,Organizing Documents,,,Archive source files separately from output files
Adobe Illustrator,Creating & Modifying Visual Elements,"Build and refine vector shapes, paths, and objects using Illustrator's core tools.",
Adobe Illustrator,Publishing Digital Media,"Prepare and export artwork for digital and print output in the correct file formats and resolution settings.",Export print-ready PDF with correct settings
Adobe Illustrator,Publishing Digital Media,,,Export PNG at correct resolution for screen use
Adobe Illustrator,Publishing Digital Media,,,Package file with linked assets
Silk Screening,Prepare Silk Screens,"Coat screens with emulsion, dry them in a light-safe environment, and inspect for defects before exposure.",Degrease screen and rinse thoroughly
Silk Screening,Prepare Silk Screens,,,Apply emulsion coat evenly with scoop coater
Silk Screening,Prepare Silk Screens,,,Dry in light-safe environment until fully set
Silk Screening,Prepare Silk Screens,,,Inspect for pinholes or uneven coverage
Silk Screening,Design Positives & Transparencies,"Create print-ready positive films or transparencies used to expose the screen.",Print film at correct opacity (optical density)
Silk Screening,Design Positives & Transparencies,,,Verify image is mirrored correctly for emulsion-side down
Silk Screening,Design Positives & Transparencies,,,Add registration marks for multi-color jobs
Silk Screening,Expose and Wash Out Frames,"Use a UV exposure unit to transfer the design onto the coated screen, then wash out unexposed emulsion.",Position film on screen emulsion-side down
Silk Screening,Expose and Wash Out Frames,,,Expose for correct time with UV unit
Silk Screening,Expose and Wash Out Frames,,,Rinse both sides until image washes out cleanly
Silk Screening,Expose and Wash Out Frames,,,Hold up to light and inspect stencil integrity
Silk Screening,Align & Set Up Single and Multi-Color Print Jobs,"Register screens accurately on the press to ensure precise alignment.",Set up micro-registration on press
Silk Screening,Align & Set Up Single and Multi-Color Print Jobs,,,Tape off screen borders to prevent ink bleed
Silk Screening,Align & Set Up Single and Multi-Color Print Jobs,,,Print registration marks on test substrate
Silk Screening,Align & Set Up Single and Multi-Color Print Jobs,,,Adjust and verify alignment before production run
Silk Screening,Prepare & Mix Plastisol Ink,"Mix and prepare plastisol inks to achieve the correct color, viscosity, and opacity.",
Silk Screening,Single & Multi-Color Printing,"Execute print runs with consistent squeegee pressure, angle, and speed.",
Silk Screening,Cure & Finish Prints,"Pass printed garments through a conveyor dryer or use a flash unit to fully cure plastisol ink.",Set conveyor dryer to correct temperature
Silk Screening,Cure & Finish Prints,,,Verify belt speed for correct dwell time
Silk Screening,Cure & Finish Prints,,,Perform stretch test on cured print
Silk Screening,Cure & Finish Prints,,,Inspect print for full opacity and washfastness
Embroidery,Design for Embroidery,"Understand the constraints of embroidery as a medium — minimum detail size, stitch count, and fabric considerations.",
Embroidery,Embroidery Digitizing,"Use digitizing software to convert artwork into a stitch file.",Open artwork and set correct canvas size in digitizing software
Embroidery,Embroidery Digitizing,,,Assign correct stitch types to each element
Embroidery,Embroidery Digitizing,,,Set stitch density and direction
Embroidery,Embroidery Digitizing,,,Define correct color sequence
Embroidery,Embroidery Digitizing,,,Export stitch file in correct format for machine
Embroidery,Machine Maintenance and Setup,"Perform routine maintenance to keep machines running reliably.",Clean lint from bobbin case and hook area
Embroidery,Machine Maintenance and Setup,,,Oil machine at designated oiling points
Embroidery,Machine Maintenance and Setup,,,Thread upper thread through correct guides
Embroidery,Machine Maintenance and Setup,,,Wind and install bobbin correctly
Embroidery,Machine Maintenance and Setup,,,Set correct thread tension and verify on scrap
Embroidery,Machine Operation,"Thread, hoop, and operate commercial embroidery machines safely and efficiently.",Hoop garment with correct tension and alignment
Embroidery,Machine Operation,,,Load design file and position on virtual hoop
Embroidery,Machine Operation,,,Perform test run on scrap fabric
Embroidery,Machine Operation,,,Monitor run and stop for thread breaks or tension issues
Direct to Film,Design for the DTF Process,"Prepare artwork files with the correct resolution, color profile, and white underbase settings.",Set resolution to 300 DPI minimum
Direct to Film,Design for the DTF Process,,,Convert to correct color profile
Direct to Film,Design for the DTF Process,,,Add white underbase layer beneath colored elements
Direct to Film,Machine Maintenance and Setup,"Maintain the DTF printer through regular cleaning cycles and film path checks.",Run daily head cleaning cycle
Direct to Film,Machine Maintenance and Setup,,,Check ink levels in all channels
Direct to Film,Machine Maintenance and Setup,,,Inspect film path and clear any jams
Direct to Film,RasterLink 7 Print Setup and Operation,"Configure RasterLink 7 RIP software for DTF output.",Import artwork and set print size
Direct to Film,RasterLink 7 Print Setup and Operation,,,Select correct DTF media profile
Direct to Film,RasterLink 7 Print Setup and Operation,,,Configure print resolution and pass count
Direct to Film,RasterLink 7 Print Setup and Operation,,,Send job to printer queue and monitor output
Direct to Film,Heater/Shaker Setup Operation and Maintenance,"Operate the powder adhesive heater and shaker at correct temperatures.",Set heater to correct temperature for adhesive
Direct to Film,Heater/Shaker Setup Operation and Maintenance,,,Set shaker speed for even powder distribution
Direct to Film,Heater/Shaker Setup Operation and Maintenance,,,Verify full powder melt before collecting sheets
Direct to Film,Heat Press Setup Operation and Maintenance,"Set heat press time, temperature, and pressure for different garment types.",Calibrate temperature with heat probe
Direct to Film,Heat Press Setup Operation and Maintenance,,,Set correct pressure for garment and transfer type
Direct to Film,Heat Press Setup Operation and Maintenance,,,Verify platen surface is clean and level
Direct to Film,Heat Press Laser Alignment Setup & Utilization,"Use laser alignment tools to position transfers accurately.",Calibrate laser alignment to press center
Direct to Film,Heat Press Laser Alignment Setup & Utilization,,,Mark standard placement positions for common garment sizes
Direct to Film,DTF Transfer Application,"Apply cured DTF transfers to garments using correct heat and pressure parameters.",Pre-press garment to remove moisture and wrinkles
Direct to Film,DTF Transfer Application,,,Position transfer using laser alignment
Direct to Film,DTF Transfer Application,,,Apply heat press at correct time and temperature
Direct to Film,DTF Transfer Application,,,Peel at correct temperature (hot or cold peel)
Direct to Film,DTF Transfer Application,,,Post-press for final adhesion
Digital Signmaking & Printing,Design for Digital Signmaking & Printing,"Create artwork sized and colored correctly for wide-format output.",
Digital Signmaking & Printing,Media & Substrate Management,"Select, load, and handle print media correctly.",Load roll media and align to feed guides
Digital Signmaking & Printing,Media & Substrate Management,,,Set correct media width and margins in printer software
Digital Signmaking & Printing,Media & Substrate Management,,,Run media feed test before print job
Digital Signmaking & Printing,RasterLink 7 Print/Cut Setup and Operation,"Configure RasterLink 7 for print-only, cut-only, and print-then-cut workflows.",
Digital Signmaking & Printing,Solvent Printer Setup Operation and Maintenance,"Operate the solvent printer through daily startup and maintenance.",Perform daily startup sequence
Digital Signmaking & Printing,Solvent Printer Setup Operation and Maintenance,,,Run nozzle check and clean heads if needed
Digital Signmaking & Printing,Solvent Printer Setup Operation and Maintenance,,,Log maintenance in machine service record
Digital Signmaking & Printing,Media Application,"Apply printed media to surfaces cleanly and without defects.",Clean application surface
Digital Signmaking & Printing,Media Application,,,Apply transfer tape and squeegee air out
Digital Signmaking & Printing,Media Application,,,Position and apply to surface with squeegee
Digital Signmaking & Printing,Media Application,,,Remove backing and post-heat if required
Digital Signmaking & Printing,Design for Banners Signs & More,"Apply design principles for signage and branded environment applications.",
Logistics & Operations,Client Communication,"Interact professionally with clients from initial inquiry through job completion.",Record job specifications on intake form
Logistics & Operations,Client Communication,,,Provide written quote or invoice
Logistics & Operations,Client Communication,,,Send order confirmation with expected timeline
Logistics & Operations,Client Communication,,,Follow up after delivery to confirm satisfaction
Logistics & Operations,Procurement Shipping & Receiving,"Source materials from vendors and accurately receive incoming goods.",
Logistics & Operations,Quality Control,"Inspect finished products against established standards before they leave the shop.",Compare finished product to order specifications
Logistics & Operations,Quality Control,,,Check print quality, registration, and color accuracy
Logistics & Operations,Quality Control,,,Document any defects and determine disposition
Logistics & Operations,Outgoing Packaging & Shipping,"Package finished orders safely and professionally.",Fold or hang garments per customer preference
Logistics & Operations,Outgoing Packaging & Shipping,,,Package to prevent damage in transit
Logistics & Operations,Outgoing Packaging & Shipping,,,Generate and attach shipping label
Logistics & Operations,Project Management,"Coordinate tasks, timelines, and resources across a job from intake through completion.",
Marketing & Advertisement,Market Research,"Identify target audiences, analyze competitors, and gather insights.",
Marketing & Advertisement,Product Photography,"Capture clean, well-lit product images suitable for marketing use.",Set up clean background and lighting
Marketing & Advertisement,Product Photography,,,Shoot multiple angles per product
Marketing & Advertisement,Product Photography,,,Edit images for brightness, color, and cropping
Marketing & Advertisement,Product Photography,,,Export at correct resolution for each use case
Marketing & Advertisement,Physical & Digital Marketing Design,"Design cohesive promotional materials for print and digital channels.",
Storefront & Enterprise,Operate School-Based Enterprise,"Run day-to-day business operations in the school store.",Complete opening checklist
Storefront & Enterprise,Operate School-Based Enterprise,,,Assign roles to team members for the shift
Storefront & Enterprise,Operate School-Based Enterprise,,,Complete closing checklist and secure premises
Storefront & Enterprise,Inventory Management,"Track stock levels, record incoming and outgoing goods, and flag low inventory.",Conduct physical inventory count
Storefront & Enterprise,Inventory Management,,,Update inventory records with incoming stock
Storefront & Enterprise,Inventory Management,,,Flag items below reorder threshold
Storefront & Enterprise,Point of Sale,"Process customer transactions accurately using point-of-sale software.",Open register and verify starting cash
Storefront & Enterprise,Point of Sale,,,Process a standard sale transaction
Storefront & Enterprise,Point of Sale,,,Handle a return or exchange correctly
Storefront & Enterprise,Point of Sale,,,Reconcile end-of-day sales with register total
Storefront & Enterprise,Bookkeeping,"Record financial transactions, track income and expenses, and maintain accurate books.",Record all transactions in ledger or software
Storefront & Enterprise,Bookkeeping,,,Reconcile weekly income and expense totals
Storefront & Enterprise,Bookkeeping,,,Generate a basic income statement
